Time and Date,Electricity:Facility ,Heating:Electricity ,Cooling:Electricity ,InteriorLights:Electricity ,ExteriorLights:Electricity ,InteriorEquipment:Electricity ,Fans:Electricity ,Pumps:Electricity ,Gas:Facility ,Heating:Gas ,WaterSystems:Gas 
 01/01  01:00:00,23217779.57,0,0,1792322.307,9957600,5940057.914,5527799.345,1.45E-05,15917480.54,15845480.54,72000
 01/01  02:00:00,22294968.59,0,0,1792322.307,9957600,5940057.914,4604988.373,1.45E-05,12213844.13,10542791.57,1671052.56
 01/01  03:00:00,23446215.69,0,0,1792322.307,9957600,5940057.914,5756235.466,1.45E-05,15132306.63,15060306.63,72000
 01/01  04:00:00,22294968.59,0,0,1792322.307,9957600,5940057.914,4604988.373,1.45E-05,11334335.41,9663324.107,1671011.299
 01/01  05:00:00,23446215.69,0,0,1792322.307,9957600,5940057.914,5756235.466,1.45E-05,14447693.75,12776613.1,1671080.647
 01/01  06:00:00,22294968.59,0,0,1792322.307,9957600,5940057.914,4604988.373,1.45E-05,11178562.23,11106562.23,72000
 01/01  07:00:00,23446215.69,0,0,1792322.307,9957600,5940057.914,5756235.466,1.45E-05,14335028.23,12664047.55,1670980.68
 01/01  08:00:00,17316168.59,0,0,1792322.307,4978800,5940057.914,4604988.373,1.45E-05,12589085.51,10918024.02,1671061.489
 01/01  09:00:00,13488615.69,0,0,1792322.307,0,5940057.914,5756235.466,1.45E-05,12954152.39,12882152.39,72000
 01/01  10:00:00,12337368.59,0,0,1792322.307,0,5940057.914,4604988.373,1.45E-05,11276857.76,9605778.614,1671079.146
 01/01  11:00:00,13488615.69,0,0,1792322.307,0,5940057.914,5756235.466,1.45E-05,13314130.52,11643082.02,1671048.494
 01/01  12:00:00,12337368.59,0,0,1792322.307,0,5940057.914,4604988.373,1.45E-05,6959999.727,6887999.727,72000
 01/01  13:00:00,13488615.69,0,0,1792322.307,0,5940057.914,5756235.466,1.45E-05,10522585.54,8851600.261,1670985.284
 01/01  14:00:00,12337368.59,0,0,1792322.307,0,5940057.914,4604988.373,1.45E-05,7585594.589,5914556.809,1671037.779
 01/01  15:00:00,13488615.69,0,0,1792322.307,0,5940057.914,5756235.466,1.45E-05,8812352.342,8740352.342,72000
 01/01  16:00:00,12337368.59,0,0,1792322.307,0,5940057.914,4604988.373,1.45E-05,8947917.015,7276825.049,1671091.966
 01/01  17:00:00,16807815.69,0,0,1792322.307,3319200,5940057.914,5756235.466,1.45E-05,13898770.06,12227722.82,1671047.249
 01/01  18:00:00,22294968.59,0,0,1792322.307,9957600,5940057.914,4604988.373,1.45E-05,8601883.897,8529883.897,72000
 01/01  19:00:00,23446215.69,0,0,1792322.307,9957600,5940057.914,5756235.466,1.45E-05,12768964.62,11097898.96,1671065.663
 01/01  20:00:00,22294968.59,0,0,1792322.307,9957600,5940057.914,4604988.373,1.45E-05,11682104.31,10011020.75,1671083.558
 01/01  21:00:00,23446215.69,0,0,1792322.307,9957600,5940057.914,5756235.466,1.45E-05,13279679.64,13207679.64,72000
 01/01  22:00:00,22294968.59,0,0,1792322.307,9957600,5940057.914,4604988.373,1.45E-05,13459032.21,11788015.05,1671017.157
 01/01  23:00:00,23446215.69,0,0,1792322.307,9957600,5940057.914,5756235.466,1.45E-05,16503290.22,14832199.28,1671090.936
 01/01  24:00:00,22294968.59,0,0,1792322.307,9957600,5940057.914,4604988.373,1.45E-05,13455366.48,13383366.48,72000
 01/02  01:00:00,25426234.99,0,0,1792322.307,9957600,7920077.219,5756235.466,1.45E-05,28087866.68,26416770.46,1671096.219
 01/02  02:00:00,24274987.9,0,0,1792322.307,9957600,7920077.219,4604988.373,1.45E-05,19172884.66,19100884.66,72000
 01/02  03:00:00,25426234.99,0,0,1792322.307,9957600,7920077.219,5756235.466,1.45E-05,20529959.48,18858889.69,1671069.79
 01/02  04:00:00,24274987.9,0,0,1792322.307,9957600,7920077.219,4604988.373,1.45E-05,18217298.69,16546265.66,1671033.031
 01/02  05:00:00,25426234.99,0,0,1792322.307,9957600,7920077.219,5756235.466,1.45E-05,20175473.72,20103473.72,72000
 01/02  06:00:00,26067310.21,0,0,3584644.615,9957600,7920077.219,4604988.373,1.45E-05,20043089.54,18372045.15,1671044.385
 01/02  07:00:00,30626875.75,0,0,3584644.615,9957600,7920077.219,9164553.918,1.45E-05,119710281.8,118039195.9,1671085.925
 01/02  08:00:00,32817364.98,0,0,10753933.84,4978800,7920077.219,9164553.918,1.45E-05,104902898.1,103231694.7,1671203.407
 01/02  09:00:00,59246529.19,0,0,32261801.53,0,17820173.74,9164553.918,1.45E-05,67148958.03,65477657.61,1671300.416
 01/02  10:00:00,59246529.19,0,0,32261801.53,0,17820173.74,9164553.918,1.45E-05,51517585.17,49846260.9,1671324.261
 01/02  11:00:00,59246529.19,0,0,32261801.53,0,17820173.74,9164553.918,1.45E-05,37048654.58,35377289.44,1671365.138
 01/02  12:00:00,59246529.19,0,0,32261801.53,0,17820173.74,9164553.918,1.45E-05,26678965.57,25007558.85,1671406.72
